Episode,Score,MeanScore100
1,0.0,0.0
2,0.0,0.0
3,0.10000000149011612,0.033333333830038704
4,0.0,0.02500000037252903
5,0.0,0.020000000298023225
6,0.0,0.016666666915019352
7,0.0,0.014285714498588018
8,0.0,0.012500000186264515
9,0.0,0.011111111276679568
10,0.0,0.010000000149011612
11,0.0,0.009090909226374193
12,0.0,0.008333333457509676
13,0.0,0.007692307806932009
14,0.0,0.007142857249294009
15,0.0,0.0066666667660077415
16,0.0,0.0062500000931322575
17,0.0,0.00588235302883036
18,0.0,0.005555555638339784
19,0.0,0.005263157973164006
20,0.0,0.005000000074505806
21,0.0,0.004761904832862672
22,0.0,0.004545454613187097
23,0.0,0.004347826151744179
24,0.0,0.004166666728754838
25,0.0,0.004000000059604645
26,0.0,0.0038461539034660044
27,0.0,0.0037037037588931896
28,0.09000000171363354,0.0067857144001339164
29,0.0,0.00655172424840516
30,0.0,0.0063333334401249886
31,0.0,0.006129032361411279
32,0.0,0.005937500100117177
33,0.0,0.0057575758546590805
34,0.09000000171363354,0.008235294262275976
35,0.0,0.008000000140496663
36,0.0,0.007777777914371755
37,0.0,0.007567567700469816
38,0.0,0.0073684211820364
39,0.0,0.007179487305573928
40,0.10000000149011612,0.009500000160187483
41,0.0,0.0092682928392073
42,0.0,0.009047619200178556
43,0.0,0.008837209451337194
44,0.0,0.00863636378198862
45,0.0,0.008444444586833319
46,0.0,0.008260869704510855
47,0.09000000171363354,0.01000000017279006
48,0.0,0.009791666835856935
49,0.09000000171363354,0.011428571629280947
50,0.0,0.011200000196695328
51,0.0,0.010980392349701301
52,0.0,0.010769230958360892
53,0.0,0.010566037921410686
54,0.0,0.010370370552495674
55,0.0,0.010181818360632117
56,0.0,0.010000000175620829
57,0.0,0.009824561576048533
58,0.0,0.00965517258335804
59,0.0,0.00949152559041977
60,0.0,0.009333333497246106
61,0.0,0.009180328030078138
62,0.0,0.009032258223141394
63,0.0,0.008888889044996292
64,0.0,0.008750000153668225
65,0.0,0.008615384766688714
66,0.0,0.008484848633860096
67,0.0,0.00835820910201144
68,0.0,0.008235294262275976
